time,entropy_1,entropy_3,entropy_10
2022-11-16 21:44:19,12.64540216897358,12.69171507339181,12.745484267508669
2022-11-21 21:44:07,12.681621756757268,12.708759917939464,12.752313021008526
2022-11-26 21:44:27,12.685072042137865,12.708845986008027,12.755427128226032
2022-12-01 21:42:36,12.688178376293845,12.715966516602151,12.76018123299111
2022-12-06 21:43:47,12.689884755605048,12.73056275699983,12.763849665005978
2022-12-11 21:44:32,12.707025733841624,12.736313884520872,12.769869853547906
2022-12-16 21:44:03,12.731942640296504,12.736197152674816,12.774907905798669
2022-12-21 21:43:24,12.713258907996872,12.72170888213409,12.774738763797412
2022-12-21 22:00:16,12.694613955169878,12.71843450612096,12.777372506435784
2022-12-31 21:43:57,12.692262215196456,12.727415676644068,12.786860765309486
